,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
2F_KITCHEN_2,17.05,28.15,844.61,1.878,0.0,0.0,0.327
2F_RESTAURANT_DINING_ROOM_2,94.12,155.44,932.63,1.364,0.0,0.0,0.0
1F_RETAIL-SALES_AREA_2,23.54,38.88,1010.81,0.741,0.0,0.0,0.0
1F_RETAIL-SALES_AREA_3,19.17,31.65,823.0,0.842,0.0,0.0,0.0
2F_RETAIL-MALL_CONCOURSE,114.49,189.08,2836.14,0.53,0.0,0.0,0.0
2F_KITCHEN,8.87,14.65,439.41,1.765,0.0,0.0,0.327
4F_LIFT_LOBBY,1.75,2.89,57.75,0.898,0.0,0.0,0.0
4F_KITCHEN,17.03,28.13,843.92,1.808,0.0,0.0,0.327
4F_RESTAURANT_DINING_ROOM,55.09,90.97,545.85,1.155,0.0,0.0,0.0
4F_RESTAURANT_DINING_ROOM_2,41.88,69.16,414.94,1.501,0.0,0.0,0.0
4F_KITCHEN_2,8.87,14.65,439.41,1.672,0.0,0.0,0.327
4F_KITCHEN_3,5.34,8.82,264.66,1.981,0.0,0.0,0.327
4F_KITCHEN_4,12.74,21.03,631.03,1.626,0.0,0.0,0.327
4F_RETAIL-MALL_CONCOURSE,6.13,10.13,151.96,1.025,0.0,0.0,0.0
4F_RETAIL-MALL_CONCOURSE_2,6.63,10.94,164.13,1.538,0.0,0.0,0.0
4F_RESTAURANT_DINING_ROOM_3,285.93,472.2,2833.2,1.076,0.0,0.0,0.0
4F_RESTAURANT_DINING_ROOM_4,114.0,188.27,1129.64,1.294,0.0,0.0,0.0
4F_RETAIL-SALES_AREA,62.63,103.43,2482.34,0.906,0.0,0.0,0.0
4F_RETAIL-MALL_CONCOURSE_3,32.64,53.91,808.61,0.568,0.0,0.0,0.0
4F_RETAIL-MALL_CONCOURSE_4,61.26,101.17,1517.6,0.638,0.0,0.0,0.0
3F_RETAIL-MALL_CONCOURSE,6.13,10.13,151.96,1.022,0.0,0.0,0.0
3F_KITCHEN,12.74,21.03,631.03,1.983,0.0,0.0,0.327
3F_KITCHEN_2,5.34,8.82,264.66,2.509,0.0,0.0,0.327
3F_KITCHEN_3,8.87,14.65,439.41,2.133,0.0,0.0,0.327
3F_RESTAURANT_DINING_ROOM,41.88,69.16,414.94,1.509,0.0,0.0,0.0
3F_RESTAURANT_DINING_ROOM_2,55.09,90.97,545.85,1.167,0.0,0.0,0.0
3F_KITCHEN_4,17.03,28.13,843.92,2.226,0.0,0.0,0.327
3F_LIFT_LOBBY,1.75,2.89,57.75,0.897,0.0,0.0,0.0
3F_RESTAURANT_DINING_ROOM_3,250.52,413.72,2482.34,1.145,0.0,0.0,0.0
3F_RESTAURANT_DINING_ROOM_4,285.93,472.2,2833.2,1.067,0.0,0.0,0.0
3F_RESTAURANT_DINING_ROOM_5,114.0,188.27,1129.64,1.259,0.0,0.0,0.0
3F_RETAIL-MALL_CONCOURSE_2,114.49,189.08,10.0,145.823,0.139,0.0,0.0
3F_RETAIL-MALL_CONCOURSE_3,6.63,10.94,164.13,1.522,0.0,0.0,0.0
2F_RESTAURANT_DINING_ROOM,58.86,97.21,583.23,1.486,0.0,0.0,0.0
2F_LIFT_LOBBY,1.7,2.81,56.27,0.892,0.0,0.0,0.0
2F_RETAIL-MALL_CONCOURSE_2,6.19,10.22,153.27,1.014,0.0,0.0,0.0
2F_RETAIL-SALES_AREA,62.63,103.43,2482.34,0.816,0.0,0.0,0.0
2F_KITCHEN_3,12.73,21.03,630.87,1.648,0.0,0.0,0.327
2F_RESTAURANT_DINING_ROOM_3,285.91,472.17,2833.04,1.051,0.0,0.0,0.0
2F_RETAIL-MALL_CONCOURSE_3,6.63,10.94,164.13,1.381,0.0,0.0,0.0
1F_RETAIL-SALES_AREA,26.38,43.57,1132.7,0.759,0.0,0.0,0.0
1F_KITCHEN,8.76,14.46,469.98,1.962,0.0,0.0,0.327
1F_OFFICE_ENCLOSED,2.31,4.1,177.61,0.0,0.0,0.0,0.0
1F_RETAIL-MALL_CONCOURSE,6.62,10.93,177.61,1.605,0.0,0.0,0.0
1F_RESTAURANT_DINING_ROOM,157.08,259.41,1686.2,1.196,0.0,0.0,0.0
1F_LIFT_LOBBY,1.7,2.81,60.96,0.725,0.0,0.0,0.0
1F_KITCHEN_2,5.81,9.6,312.05,1.735,0.0,0.0,0.327
1F_RESTAURANT_DINING_ROOM_2,243.72,402.49,2616.16,0.89,0.0,0.0,0.0
1F_RETAIL-MALL_CONCOURSE_2,157.44,260.01,4223.78,0.501,0.0,0.0,0.0
