,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],Steam [W],Water [m3/s]
Time of Peak,02-AUG-15:30,-,-,09-SEP-18:30,-,-
Heating,0.0,0.0,0.0,0.0,0.0,0.0
Cooling,0.0,0.0,0.0,3516704.28,0.0,0.0
Interior Lighting,111064.54,0.0,0.0,0.0,0.0,0.0
Exterior Lighting,0.0,0.0,0.0,0.0,0.0,0.0
Interior Equipment,139058.04,0.0,0.0,0.0,0.0,0.0
Exterior Equipment,61689.6,0.0,0.0,0.0,0.0,0.0
Fans,92532.72,0.0,0.0,0.0,0.0,0.0
Pumps,65682.06,0.0,0.0,0.0,0.0,0.0
Heat Rejection,0.0,0.0,0.0,0.0,0.0,0.0
Humidification,0.0,0.0,0.0,0.0,0.0,0.0
Heat Recovery,0.0,0.0,0.0,0.0,0.0,0.0
Water Systems,0.0,0.0,0.0,0.0,0.0,0.0
Refrigeration,0.0,0.0,0.0,0.0,0.0,0.0
Generators,0.0,0.0,0.0,0.0,0.0,0.0
 , , , , , , 
Total End Uses,470026.95,0.0,0.0,3516704.28,0.0,0.0
